jday,month,day,hour,u10,v10,mixht,precip,tempc
4,1,4,23,.965,-.158,15.679,.000,5.197
5,1,5,0,.732,-.276,15.636,.000,4.567
5,1,5,1,.573,-.219,15.593,.000,3.947
5,1,5,2,.621,-.015,15.582,.000,5.298
5,1,5,3,.823,.220,34.861,.000,10.733
5,1,5,4,1.137,.422,113.568,.000,15.694
5,1,5,5,1.628,.392,277.413,.000,19.060
5,1,5,6,2.244,.054,769.241,.000,21.110
5,1,5,7,2.665,-.674,1051.098,.000,22.234
5,1,5,8,2.893,-1.310,1271.308,.000,22.953
5,1,5,9,3.044,-1.710,1356.802,.000,23.242
5,1,5,10,3.086,-1.847,1325.294,.000,23.066
5,1,5,11,2.338,-1.398,1094.993,.000,21.957
5,1,5,12,1.892,-1.007,49.213,.000,16.422
5,1,5,13,1.965,-1.204,16.239,.000,14.300
5,1,5,14,1.880,-1.260,16.145,.000,12.881
5,1,5,15,1.669,-1.185,16.073,.000,11.750
5,1,5,16,1.424,-1.012,16.017,.000,10.820
5,1,5,17,1.296,-.834,15.966,.000,9.983
5,1,5,18,1.354,-.648,15.920,.000,9.216
5,1,5,19,1.535,-.549,15.879,.000,8.523
5,1,5,20,1.648,-.664,15.844,.000,7.888
5,1,5,21,1.688,-1.205,15.796,.000,7.116
5,1,5,22,1.775,-1.866,17.275,.000,6.250
5,1,5,23,2.046,-1.974,19.084,.000,5.581
6,1,6,0,2.281,-1.321,16.171,.000,5.018
6,1,6,1,2.774,-.570,15.837,.000,4.645
6,1,6,2,2.369,.255,26.858,.000,6.377
6,1,6,3,2.024,.705,50.437,.000,11.515
6,1,6,4,2.516,.823,124.104,.000,16.074
6,1,6,5,3.153,.524,263.330,.000,19.462
6,1,6,6,3.753,-.108,606.803,.000,21.661
6,1,6,7,4.308,-.944,1050.768,.000,22.863
6,1,6,8,4.575,-1.611,1448.081,.000,23.485
6,1,6,9,4.693,-1.921,1573.144,.000,23.653
6,1,6,10,4.691,-1.975,1501.423,.000,23.349
6,1,6,11,3.331,-1.232,1290.813,.000,22.073
6,1,6,12,3.163,-.746,137.039,.000,16.317
6,1,6,13,3.434,-.770,62.564,.000,14.864
6,1,6,14,3.484,-.792,48.540,.000,13.654
6,1,6,15,3.397,-.722,44.072,.000,12.510
6,1,6,16,3.339,-.735,42.537,.000,11.575
6,1,6,17,3.293,-.857,42.773,.000,10.794
6,1,6,18,3.284,-.949,44.093,.000,10.123
6,1,6,19,3.264,-1.049,44.442,.000,9.475
6,1,6,20,3.048,-1.495,45.198,.000,8.761
6,1,6,21,2.810,-1.852,48.530,.000,8.052
6,1,6,22,2.802,-1.778,45.502,.000,7.395
6,1,6,23,2.867,-1.621,42.043,.000,6.883
7,1,7,0,3.411,-.373,55.511,.000,5.552
7,1,7,1,3.478,-.264,59.112,.000,5.181
7,1,7,2,3.408,-.319,78.146,.000,6.806
7,1,7,3,3.565,-.686,71.995,.000,12.231
7,1,7,4,3.951,-.624,149.213,.000,15.835
7,1,7,5,5.222,-1.218,453.290,.000,18.737
7,1,7,6,6.284,-1.703,856.254,.000,20.114
7,1,7,7,6.392,-1.745,992.046,.000,20.902
7,1,7,8,6.295,-1.693,1098.079,.000,21.413
7,1,7,9,6.182,-1.613,1139.442,.000,21.667
7,1,7,10,6.018,-1.553,1120.002,.000,21.475
7,1,7,11,4.284,-.936,1130.809,.000,20.409
7,1,7,12,3.913,-.227,216.516,.000,15.228
7,1,7,13,3.777,-.095,119.232,.000,13.610
7,1,7,14,3.706,-.021,110.295,.000,12.351
7,1,7,15,3.722,-.024,121.987,.000,11.420
7,1,7,16,3.765,-.034,126.344,.000,10.636
7,1,7,17,3.798,.002,121.048,.000,9.887
7,1,7,18,3.805,.021,113.426,.000,9.147
7,1,7,19,3.794,-.124,110.254,.000,8.433
7,1,7,20,3.723,-.191,102.715,.000,7.650
7,1,7,21,3.662,-.142,90.687,.000,6.814
7,1,7,22,3.634,-.115,86.352,.000,6.049
7,1,7,23,3.644,-.035,85.598,.000,5.427
8,1,8,0,3.681,.134,85.314,.000,4.935
8,1,8,1,3.713,.380,84.363,.000,4.487
8,1,8,2,3.782,.329,101.409,.000,6.066
8,1,8,3,4.049,-.263,74.499,.000,12.035
8,1,8,4,4.336,-.065,159.227,.000,15.347
8,1,8,5,5.153,-.399,316.503,.000,18.212
8,1,8,6,5.391,-.627,458.861,.000,20.199
8,1,8,7,5.413,-.678,582.509,.000,21.649
8,1,8,8,5.313,-.662,687.268,.000,22.606
8,1,8,9,5.192,-.545,730.291,.000,23.079
8,1,8,10,5.048,-.441,717.658,.000,22.914
8,1,8,11,3.498,.003,707.341,.000,21.568
8,1,8,12,3.686,.574,134.642,.000,15.428
8,1,8,13,3.767,.494,65.094,.000,13.803
8,1,8,14,3.593,.156,50.112,.000,12.189
8,1,8,15,3.490,-.228,48.905,.000,11.021
8,1,8,16,3.436,-.380,49.126,.000,10.100
8,1,8,17,3.471,-.362,57.783,.000,9.422
8,1,8,18,3.565,-.251,66.165,.000,8.893
8,1,8,19,3.628,-.113,65.863,.000,8.307
8,1,8,20,3.626,-.051,65.848,.000,7.646
8,1,8,21,3.595,-.133,65.701,.000,6.953
8,1,8,22,3.531,-.250,62.816,.000,6.213
8,1,8,23,3.447,-.319,57.623,.000,5.442
9,1,9,0,3.395,-.310,54.018,.000,4.729
9,1,9,1,3.376,-.062,51.854,.000,4.062
9,1,9,2,3.084,.035,61.512,.000,5.490
9,1,9,3,3.002,-.263,57.593,.000,11.181
9,1,9,4,3.283,-.174,134.191,.000,15.239
9,1,9,5,3.959,-.479,252.492,.000,18.567
9,1,9,6,4.343,-.692,384.043,.000,20.947
9,1,9,7,4.649,-.824,520.351,.000,22.713
9,1,9,8,4.854,-.892,624.409,.000,23.890
9,1,9,9,4.916,-.852,699.100,.000,24.447
9,1,9,10,4.949,-.781,692.967,.000,24.330
9,1,9,11,3.427,-.091,661.487,.000,22.784
9,1,9,12,4.102,.618,140.999,.000,16.825
9,1,9,13,3.951,.508,86.912,.000,14.943
9,1,9,14,3.852,.284,81.695,.000,13.422
9,1,9,15,3.797,.019,86.389,.000,12.230
9,1,9,16,3.754,-.142,91.588,.000,11.226
9,1,9,17,3.761,-.206,95.318,.000,10.389
9,1,9,18,3.820,-.026,96.792,.000,9.669
9,1,9,19,3.882,.340,94.841,.000,9.033
9,1,9,20,3.897,.529,96.489,.000,8.446
9,1,9,21,3.911,.451,100.895,.000,7.873
9,1,9,22,3.875,.291,99.051,.000,7.199
9,1,9,23,3.801,.111,95.698,.000,6.461
10,1,10,0,3.443,.557,65.991,.000,4.509
10,1,10,1,3.442,.590,66.369,.000,4.085
10,1,10,2,3.381,.427,77.916,.000,5.559
10,1,10,3,3.475,-.040,70.868,.000,11.181
10,1,10,4,3.623,.226,140.734,.000,15.049
10,1,10,5,4.267,-.016,253.922,.000,18.461
10,1,10,6,4.870,-.413,401.353,.000,20.924
10,1,10,7,5.210,-.637,518.891,.000,22.661
10,1,10,8,5.400,-.776,596.339,.000,23.841
10,1,10,9,5.461,-.691,620.069,.000,24.328
10,1,10,10,5.528,-.518,587.030,.000,24.164
10,1,10,11,3.966,.181,656.666,.000,22.676
10,1,10,12,4.173,1.031,196.355,.000,17.315
10,1,10,13,4.045,1.022,147.799,.000,15.473
10,1,10,14,4.040,.882,145.758,.000,14.203
10,1,10,15,4.052,.685,150.724,.000,13.187
10,1,10,16,4.067,.522,155.677,.000,12.327
10,1,10,17,4.072,.380,155.572,.000,11.524
10,1,10,18,4.069,.371,150.535,.000,10.789
10,1,10,19,4.097,.347,153.344,.000,10.196
10,1,10,20,4.035,.327,149.779,.000,9.527
10,1,10,21,3.946,.308,140.378,.000,8.729
10,1,10,22,3.900,.262,138.928,.000,8.017
10,1,10,23,3.906,.309,141.081,.000,7.477
11,1,11,0,3.949,.382,144.251,.000,7.059
11,1,11,1,3.998,.482,147.681,.000,6.675
11,1,11,2,4.276,.324,167.722,.000,7.937
11,1,11,3,4.697,-1.072,76.921,.000,13.931
11,1,11,4,4.961,-.886,174.686,.000,16.820
11,1,11,5,5.165,-.830,256.186,.000,19.511
11,1,11,6,5.466,-.825,353.128,.000,21.838
11,1,11,7,5.831,-.863,470.088,.000,23.560
11,1,11,8,6.065,-.791,587.923,.000,24.677
11,1,11,9,6.155,-.706,638.515,.000,25.103
11,1,11,10,6.220,-.517,676.211,.000,24.910
11,1,11,11,4.295,.157,749.991,.000,23.455
11,1,11,12,4.122,1.001,249.464,.000,18.300
11,1,11,13,4.035,.962,185.177,.000,16.548
11,1,11,14,4.054,.739,191.026,.000,15.334
11,1,11,15,4.103,.465,200.854,.000,14.380
11,1,11,16,4.101,.377,192.127,.000,13.505
11,1,11,17,4.130,.350,185.526,.000,12.763
11,1,11,18,4.174,.252,186.839,.000,12.111
11,1,11,19,4.157,.235,184.440,.000,11.386
11,1,11,20,4.075,.291,184.365,.000,10.628
11,1,11,21,4.064,.331,191.814,.000,9.993
11,1,11,22,4.079,.360,202.238,.000,9.490
11,1,11,23,4.031,.494,196.322,.000,9.002
12,1,12,0,3.943,.613,179.954,.000,8.465
12,1,12,1,3.825,.709,164.653,.000,7.873
12,1,12,2,3.843,.493,169.126,.000,8.890
12,1,12,3,4.114,-1.153,73.332,.000,14.245
12,1,12,4,3.885,-1.417,176.993,.000,17.458
12,1,12,5,3.799,-1.561,276.571,.000,20.137
12,1,12,6,3.836,-1.587,401.089,.000,22.379
12,1,12,7,4.049,-1.614,541.593,.000,24.107
12,1,12,8,4.289,-1.700,664.541,.000,25.279
12,1,12,9,4.537,-1.758,762.219,.000,25.888
12,1,12,10,4.788,-1.782,763.366,.000,25.764
12,1,12,11,3.589,-.944,825.163,.000,24.478
12,1,12,12,4.003,-.227,181.552,.000,19.083
12,1,12,13,3.794,-.236,113.279,.000,17.363
12,1,12,14,3.686,-.653,124.949,.000,16.036
12,1,12,15,3.497,-1.172,142.794,.000,14.869
12,1,12,16,3.326,-1.225,141.389,.000,13.749
12,1,12,17,3.360,-.899,134.366,.000,12.985
12,1,12,18,3.466,-.609,129.363,.000,12.506
12,1,12,19,3.430,-.666,122.664,.000,12.050
12,1,12,20,3.338,-.756,108.790,.000,11.451
12,1,12,21,3.316,-.722,94.910,.000,10.874
12,1,12,22,3.331,-.597,88.386,.000,10.600
12,1,12,23,3.401,-.497,92.836,.000,10.346
13,1,13,0,1.978,.936,15.739,.000,6.523
13,1,13,1,2.759,.997,23.597,.000,6.163
13,1,13,2,2.359,.389,35.591,.000,7.821
13,1,13,3,1.842,-.086,52.531,.000,12.608
13,1,13,4,2.025,-.490,115.265,.000,17.282
13,1,13,5,2.416,-1.207,275.822,.000,20.945
13,1,13,6,2.984,-2.176,633.826,.000,23.106
13,1,13,7,3.535,-2.621,987.090,.000,24.267
13,1,13,8,3.905,-2.585,1183.760,.000,24.900
13,1,13,9,4.137,-2.307,1257.943,.000,25.143
13,1,13,10,4.247,-2.047,1218.999,.000,24.925
13,1,13,11,3.101,-1.255,1163.511,.000,23.758
13,1,13,12,2.809,-.835,121.414,.000,17.727
13,1,13,13,3.305,-1.138,50.174,.000,15.790
13,1,13,14,3.315,-1.384,42.964,.000,14.530
13,1,13,15,3.240,-1.389,40.192,.000,13.402
13,1,13,16,3.233,-1.235,37.807,.000,12.341
13,1,13,17,3.241,-1.154,38.075,.000,11.416
13,1,13,18,3.250,-1.119,38.749,.000,10.554
13,1,13,19,3.272,-1.108,39.414,.000,9.808
13,1,13,20,3.258,-1.180,40.440,.000,9.135
13,1,13,21,3.240,-1.313,43.722,.000,8.564
13,1,13,22,3.228,-1.345,45.644,.000,7.937
13,1,13,23,3.295,-1.123,45.040,.000,7.301
14,1,14,0,3.386,-.866,44.551,.000,6.775
14,1,14,1,3.442,-.593,44.039,.000,6.211
14,1,14,2,3.028,-.348,50.369,.000,7.718
14,1,14,3,2.907,-.403,46.431,.000,13.756
14,1,14,4,3.061,-.157,120.781,.000,17.956
14,1,14,5,3.988,-.416,310.625,.000,21.205
14,1,14,6,4.749,-.973,659.325,.000,23.077
14,1,14,7,4.927,-1.178,899.517,.000,24.166
14,1,14,8,4.780,-1.061,1003.242,.000,24.848
14,1,14,9,4.500,-.819,1023.834,.000,25.127
14,1,14,10,4.241,-.668,975.219,.000,24.949
14,1,14,11,2.937,-.326,911.799,.000,23.722
14,1,14,12,2.520,-.015,73.894,.000,17.356
14,1,14,13,2.708,-.226,27.373,.000,14.744
14,1,14,14,3.126,-.648,26.696,.000,13.105
14,1,14,15,3.391,-.977,29.235,.000,12.332
14,1,14,16,3.367,-.931,33.737,.000,11.431
14,1,14,17,3.450,-.653,38.952,.000,10.676
14,1,14,18,3.495,-.371,42.015,.000,9.908
14,1,14,19,3.497,-.291,44.585,.000,9.190
14,1,14,20,3.504,-.274,49.354,.000,8.561
14,1,14,21,3.529,-.341,56.258,.000,7.972
14,1,14,22,3.494,-.509,57.060,.000,7.274
14,1,14,23,3.432,-.630,57.904,.000,6.531
15,1,15,0,3.401,-.555,59.460,.000,5.831
15,1,15,1,3.418,-.311,60.785,.000,5.195
15,1,15,2,3.287,-.226,76.985,.000,6.741
15,1,15,3,3.639,-.792,74.474,.000,12.632
15,1,15,4,4.005,-.779,160.077,.000,15.908
15,1,15,5,4.209,-1.197,248.370,.000,18.811
15,1,15,6,4.367,-1.404,337.287,.000,21.344
15,1,15,7,4.765,-1.436,430.954,.000,23.470
15,1,15,8,5.115,-1.415,516.078,.000,24.915
15,1,15,9,5.554,-1.462,575.540,.000,25.639
15,1,15,10,5.821,-1.399,565.701,.000,25.418
15,1,15,11,4.257,-.519,693.567,.000,23.844
15,1,15,12,4.420,.190,245.282,.000,18.118
15,1,15,13,4.337,.174,171.281,.000,15.947
15,1,15,14,4.202,.073,156.643,.000,14.324
15,1,15,15,4.082,.073,146.903,.000,12.992
15,1,15,16,4.039,.240,138.024,.000,11.937
15,1,15,17,4.078,.386,129.331,.000,11.104
15,1,15,18,4.178,.361,132.469,.000,10.441
15,1,15,19,4.230,.160,139.183,.000,9.723
15,1,15,20,4.124,.013,134.131,.000,8.724
15,1,15,21,4.021,-.035,126.095,.000,7.674
15,1,15,22,3.965,-.083,123.032,.000,6.780
15,1,15,23,3.946,-.009,120.073,.000,6.052
16,1,16,0,3.621,.353,89.433,.000,5.324
16,1,16,1,3.565,.743,85.317,.000,4.611
16,1,16,2,3.550,.847,92.628,.000,5.870
16,1,16,3,3.678,.259,73.570,.000,11.573
16,1,16,4,3.388,.609,142.139,.000,15.428
16,1,16,5,3.681,.432,268.047,.000,18.937
16,1,16,6,3.885,.118,447.407,.000,21.356
16,1,16,7,3.650,.116,584.615,.000,22.994
16,1,16,8,3.368,.211,707.011,.000,24.078
16,1,16,9,3.192,.217,772.391,.000,24.670
16,1,16,10,2.947,.114,780.750,.000,24.645
16,1,16,11,2.149,.050,733.620,.000,23.670
16,1,16,12,1.315,.072,16.492,.000,17.309
16,1,16,13,.813,-.019,16.280,.000,14.425
16,1,16,14,.584,-.050,16.149,.000,12.540
16,1,16,15,.533,-.047,16.058,.000,11.155
16,1,16,16,.504,.052,15.990,.000,10.055
16,1,16,17,.575,.096,15.929,.000,9.061
16,1,16,18,.607,.075,15.873,.000,8.121
16,1,16,19,.633,.096,15.817,.000,7.223
16,1,16,20,.642,.115,15.767,.000,6.425
16,1,16,21,.579,.045,15.719,.000,5.660
16,1,16,22,.419,-.188,15.667,.000,4.849
16,1,16,23,.203,-.383,15.613,.000,4.023
17,1,17,0,.083,-.490,15.561,.000,3.239
17,1,17,1,.041,-.445,15.515,.000,2.542
17,1,17,2,.087,-.296,15.506,.000,3.957
17,1,17,3,.090,-.196,29.519,.000,9.847
17,1,17,4,.144,.089,96.717,.000,15.289
17,1,17,5,.326,.194,212.643,.000,19.275
17,1,17,6,.587,-.006,658.652,.000,21.753
17,1,17,7,1.147,-.145,815.992,.000,23.024
17,1,17,8,1.558,-.292,905.147,.000,24.027
17,1,17,9,1.902,-.495,993.993,.000,24.658
17,1,17,10,2.123,-.661,954.805,.000,24.751
17,1,17,11,1.971,-.577,770.761,.000,23.957
17,1,17,12,1.528,-.281,16.508,.000,17.805
17,1,17,13,1.364,-.309,16.309,.000,15.072
17,1,17,14,1.177,-.406,16.191,.000,13.384
17,1,17,15,.940,-.588,16.111,.000,12.186
17,1,17,16,.707,-.735,16.048,.000,11.230
17,1,17,17,.714,-.874,15.996,.000,10.403
17,1,17,18,.789,-1.022,15.951,.000,9.690
17,1,17,19,.863,-1.139,15.917,.000,9.096
17,1,17,20,.841,-1.043,15.891,.000,8.609
17,1,17,21,.898,-.837,15.861,.000,8.098
17,1,17,22,1.101,-.728,15.827,.000,7.523
17,1,17,23,1.419,-.634,15.785,.000,6.871
18,1,18,0,1.937,-.334,15.732,.000,6.089
18,1,18,1,3.086,.184,18.209,.000,5.682
18,1,18,2,2.587,.419,36.478,.000,7.511
18,1,18,3,2.311,.298,53.476,.000,12.636
18,1,18,4,2.795,.152,118.327,.000,17.517
18,1,18,5,3.548,-.196,247.346,.000,21.275
18,1,18,6,4.079,-.591,438.781,.000,23.754
18,1,18,7,4.550,-1.061,648.387,.000,25.406
18,1,18,8,4.919,-1.599,929.214,.000,26.417
18,1,18,9,5.111,-2.056,1103.342,.000,26.848
18,1,18,10,5.132,-2.073,1093.660,.000,26.695
18,1,18,11,3.668,-1.081,1145.516,.000,25.557
18,1,18,12,3.348,-.074,171.273,.000,19.302
18,1,18,13,3.864,.115,66.510,.000,17.578
18,1,18,14,3.638,.053,49.368,.000,15.943
18,1,18,15,3.486,-.078,43.872,.000,14.651
18,1,18,16,3.385,-.130,38.951,.000,13.610
18,1,18,17,3.348,-.148,36.509,.000,12.800
18,1,18,18,3.356,-.176,35.807,.000,12.118
18,1,18,19,3.379,-.252,35.044,.000,11.453
18,1,18,20,3.370,-.444,33.634,.000,10.766
18,1,18,21,3.292,-.827,33.451,.000,10.144
18,1,18,22,3.152,-1.240,35.347,.000,9.621
18,1,18,23,3.051,-1.437,36.877,.000,9.217
19,1,19,0,3.084,-.594,36.070,.000,8.009
19,1,19,1,3.077,-.604,36.261,.000,7.618
19,1,19,2,2.708,-.349,43.881,.000,9.074
19,1,19,3,2.537,-.339,58.363,.000,14.253
19,1,19,4,2.933,-.399,140.125,.000,18.529
19,1,19,5,3.580,-.904,280.053,.000,21.860
19,1,19,6,4.344,-1.502,546.046,.000,24.162
19,1,19,7,5.168,-1.978,894.123,.000,25.563
19,1,19,8,5.603,-2.237,1147.334,.000,26.351
19,1,19,9,5.644,-2.069,1192.436,.000,26.633
19,1,19,10,5.543,-1.817,1170.151,.000,26.392
19,1,19,11,4.049,-1.009,1157.658,.000,25.290
19,1,19,12,3.617,-.193,211.133,.000,19.244
19,1,19,13,3.843,-.192,92.507,.000,17.465
19,1,19,14,3.652,-.398,76.175,.000,15.814
19,1,19,15,3.525,-.648,75.914,.000,14.490
19,1,19,16,3.493,-.753,86.148,.000,13.369
19,1,19,17,3.589,-.565,91.943,.000,12.466
19,1,19,18,3.676,-.257,89.289,.000,11.722
19,1,19,19,3.730,-.228,93.860,.000,11.065
19,1,19,20,3.717,-.269,98.187,.000,10.254
19,1,19,21,3.682,-.144,86.332,.000,9.265
19,1,19,22,3.672,-.003,79.046,.000,8.284
19,1,19,23,3.704,.098,82.443,.000,7.456
20,1,20,0,3.751,.109,92.832,.000,6.790
20,1,20,1,3.805,.121,102.274,.000,6.219
20,1,20,2,3.890,-.043,129.474,.000,7.854
20,1,20,3,4.144,-.962,81.181,.000,13.581
20,1,20,4,4.391,-.698,172.644,.000,16.694
20,1,20,5,4.634,-.563,260.402,.000,19.586
20,1,20,6,4.959,-.604,384.030,.000,21.957
20,1,20,7,5.243,-.677,519.419,.000,23.707
20,1,20,8,5.390,-.667,622.219,.000,24.901
20,1,20,9,5.431,-.476,710.240,.000,25.549
20,1,20,10,5.502,-.303,719.773,.000,25.529
20,1,20,11,3.990,.153,747.579,.000,24.380
20,1,20,12,3.952,1.037,204.228,.000,18.048
20,1,20,13,3.889,1.010,100.497,.000,15.917
20,1,20,14,3.745,.612,92.051,.000,14.081
20,1,20,15,3.623,.228,85.574,.000,12.642
20,1,20,16,3.551,.281,76.038,.000,11.539
20,1,20,17,3.543,.519,72.350,.000,10.669
20,1,20,18,3.556,.609,72.052,.000,9.902
20,1,20,19,3.586,.374,73.327,.000,9.154
20,1,20,20,3.547,.060,70.698,.000,8.304
20,1,20,21,3.435,-.249,58.727,.000,7.325
20,1,20,22,3.309,-.399,47.801,.000,6.313
20,1,20,23,3.203,-.488,39.798,.000,5.415
21,1,21,0,3.124,-.432,34.992,.000,4.571
21,1,21,1,3.080,-.323,32.871,.000,3.827
21,1,21,2,2.394,-.301,37.323,.000,5.407
21,1,21,3,1.772,-.382,52.004,.000,10.952
21,1,21,4,1.811,-.531,112.180,.000,16.019
21,1,21,5,1.937,-.860,211.035,.000,19.910
21,1,21,6,1.978,-.956,369.750,.000,22.592
21,1,21,7,2.346,-.918,746.478,.000,24.437
21,1,21,8,2.478,-.788,971.044,.000,25.390
21,1,21,9,2.381,-.562,1050.793,.000,25.773
21,1,21,10,2.253,-.415,1078.052,.000,25.706
21,1,21,11,1.907,-.256,926.310,.000,24.821
21,1,21,12,1.371,-.149,16.538,.000,18.430
21,1,21,13,1.190,-.360,16.317,.000,15.236
21,1,21,14,1.113,-.606,16.185,.000,13.337
21,1,21,15,1.093,-.776,16.097,.000,11.972
21,1,21,16,1.058,-.759,16.029,.000,10.879
21,1,21,17,1.050,-.672,15.969,.000,9.899
21,1,21,18,1.064,-.470,15.914,.000,8.994
21,1,21,19,1.114,-.219,15.861,.000,8.134
21,1,21,20,1.107,-.081,15.812,.000,7.331
21,1,21,21,1.074,-.095,15.764,.000,6.566
21,1,21,22,1.059,-.245,15.715,.000,5.794
21,1,21,23,1.027,-.419,15.666,.000,5.026
22,1,22,0,.440,-.573,15.572,.000,3.390
22,1,22,1,.450,-.465,15.527,.000,2.728
22,1,22,2,.684,-.208,15.517,.000,4.263
22,1,22,3,.877,.130,33.398,.000,10.385
22,1,22,4,1.104,.261,118.668,.000,15.751
22,1,22,5,1.539,-.096,473.339,.000,18.978
22,1,22,6,1.958,-.348,643.638,.000,20.551
22,1,22,7,2.365,-.456,778.757,.000,21.912
22,1,22,8,2.537,-.553,825.679,.000,22.933
22,1,22,9,2.618,-.787,903.141,.000,23.631
22,1,22,10,2.621,-1.047,918.224,.000,23.763
22,1,22,11,2.343,-1.072,878.201,.000,23.103
