jday,month,day,hour,u10,v10,mixht,precip,tempc,year,datetime,ws,wd,wd_category_8,wd_category_4,ws_category,mixht_category,tempc_category,total_hours,percentage_wd_8,percentage_wd_4,percentage_ws,percentage_mixht,percentage_tempc
3,Jan,3,5,2.132,-1.07,15.616,0.0,4.297,2018,2018-01-03 05:30:00,2.385440001341472,296.65098404029817,NW,W,2-4,<100,<15,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,3,6,2.165,-0.758,15.583,0.0,3.769,2018,2018-01-03 06:30:00,2.2938589756129297,289.2959401190479,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,3,7,1.913,-0.289,20.142,0.0,5.379,2018,2018-01-03 07:30:00,1.934706696117011,278.59080410255507,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
3,Jan,3,8,1.458,-0.031,44.484,0.0,10.747,2018,2018-01-03 08:30:00,1.4583295238045482,271.21803949582664,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
3,Jan,3,9,1.74,-0.088,113.323,0.0,15.517,2018,2018-01-03 09:30:00,1.7422238662123763,272.89525077371366,W,W,<2,100-500,15-20,745,76.91275167785236,91.14093959731544,19.19463087248322,28.187919463087248,16.10738255033557
3,Jan,3,10,2.162,-0.2,269.844,0.0,19.025,2018,2018-01-03 10:30:00,2.171230987251241,275.28521523912343,W,W,2-4,100-500,15-20,745,76.91275167785236,91.14093959731544,52.61744966442953,28.187919463087248,16.10738255033557
3,Jan,3,11,2.757,-0.499,673.002,0.0,21.098,2018,2018-01-03 11:30:00,2.8017940680928,280.25911959937383,W,W,2-4,500-1K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,14.496644295302014,21.879194630872483
3,Jan,3,12,3.094,-0.675,914.31,0.0,22.212,2018,2018-01-03 12:30:00,3.166774542022213,282.3070516207682,W,W,2-4,500-1K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,14.496644295302014,21.879194630872483
3,Jan,3,13,3.281,-0.861,1064.314,0.0,22.927,2018,2018-01-03 13:30:00,3.392091095474884,284.7040153087256,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
3,Jan,3,14,3.422,-1.051,1126.84,0.0,23.229,2018,2018-01-03 14:30:00,3.579760466846909,287.07331031302544,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
3,Jan,3,15,3.519,-1.216,1067.443,0.0,23.046,2018,2018-01-03 15:30:00,3.7231729747622526,289.06272931895717,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
3,Jan,3,16,2.674,-0.838,792.463,0.0,21.68,2018,2018-01-03 16:30:00,2.8022348224229887,287.4003745137799,W,W,2-4,500-1K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,14.496644295302014,21.879194630872483
3,Jan,3,17,2.661,-0.46,65.991,0.0,15.836,2018,2018-01-03 17:30:00,2.700466811497597,279.80764142702174,W,W,2-4,<100,15-20,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,16.10738255033557
3,Jan,3,18,3.211,-0.524,34.464,0.0,13.743,2018,2018-01-03 18:30:00,3.253474604173206,279.2683453226938,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,3,19,3.227,-0.739,28.749,0.0,12.499,2018,2018-01-03 19:30:00,3.310536210344179,282.89862232268985,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,3,20,3.087,-0.938,25.589,0.0,11.235,2018,2018-01-03 20:30:00,3.226362192934947,286.90165990304945,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,3,21,2.972,-1.04,23.206,0.0,10.127,2018,2018-01-03 21:30:00,3.1487114824956572,289.2866112204211,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,3,22,2.936,-1.027,21.874,0.0,9.192,2018,2018-01-03 22:30:00,3.1104380720406573,289.27961442161086,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,3,23,2.971,-0.89,21.395,0.0,8.369,2018,2018-01-03 23:30:00,3.101441761503833,286.676240988359,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,4,0,3.137,-0.795,23.387,0.0,7.752,2018,2018-01-04 00:30:00,3.2361696494467034,284.22088785000574,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,4,1,3.182,-0.776,24.045,0.0,7.089,2018,2018-01-04 01:30:00,3.2752557152075927,283.7053029241939,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,4,2,2.989,-0.871,22.994,0.0,6.337,2018,2018-01-04 02:30:00,3.1133200927627085,286.2462180986589,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,4,3,2.886,-1.021,20.639,0.0,5.609,2018,2018-01-04 03:30:00,3.061280287722769,289.4826007216287,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
3,Jan,4,4,2.754,-1.038,17.153,0.0,4.776,2018,2018-01-04 04:30:00,2.9431207926281244,290.6517431636622,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
4,Jan,4,5,3.045,-0.19,35.724,0.0,4.545,2018,2018-01-04 05:30:00,3.050921991791989,273.5704771086598,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
4,Jan,4,6,2.993,0.017,33.901,0.0,3.925,2018,2018-01-04 06:30:00,2.993048278929025,269.6745680663578,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
4,Jan,4,7,2.389,0.224,37.173,0.0,5.386,2018,2018-01-04 07:30:00,2.399478485004606,264.64343201394576,W,W,2-4,<100,<15,745,76.91275167785236,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
4,Jan,4,8,1.86,0.325,52.88,0.0,10.411,2018,2018-01-04 08:30:00,1.888180340963225,260.08869959363227,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
